0.6250661341054309,"{""balanced"": true, ""decay"": 8.0, ""model"": ""CbowSim"", ""prior"": true, ""size"": 275, ""window"": 45}",0.43625108285513287,"[0.87230463314524398, 0.85886616059752574, 0.85051172981419576, 0.82770222815826378, 0.81970580319834552, 0.81574119854421989, 0.81225524807762095, 0.80247400851097672, 0.79264934013896993, 0.77833015050031462]","['d_244', 'd_327', 'd_274', 'd_428', 'd_403', 'd_250', 'd_493', 'd_427', 'd_272', 'd_496']"
0.8305629683893511,"{""balanced"": true, ""decay"": 8.0, ""model"": ""SkipGram"", ""prior"": false, ""size"": 350, ""window"": 23}",0.19748661329426334,"[0.99937351035609567, 0.8793116573199159, 0.87178060357592613, 0.83960877632827646, 0.8354792229441842, 0.83346222309839879, 0.82135936849947921, 0.81899747983277971, 0.8147326183477912, 0.81137263764895651]","['d_774', 'd_327', 'd_244', 'd_403', 'd_250', 'd_274', 'd_493', 'd_428', 'd_272', 'd_414']"
0.17907028597732896,"{""balanced"": true, ""decay"": 8.0, ""model"": ""CollaborativeFiltering"", ""prior"": true, ""size"": 400, ""window"": 27}",0.9728299959721503,"[0.60731412733175461, 0.50346527364663884, 0.50136615774574922, 0.49628852261365636, 0.49614570535761982, 0.48467576119015654, 0.47964928216944347, 0.47451862634817704, 0.47409797214878541, 0.47371547428222494]","['d_774', 'd_285.9', 'd_424', 'd_997', 'd_305', 'd_401', 'd_274', 'd_272', 'd_428', 'd_327']"
0.17907388227170723,"{""balanced"": true, ""decay"": 8.0, ""model"": ""CollaborativeFiltering"", ""prior"": true, ""size"": 400, ""window"": 27}",0.9728263996777721,"[0.60757082064704526, 0.50944809637120758, 0.50673893772738388, 0.49585455127016836, 0.4940306770580134, 0.49378242051409887, 0.48921341440722654, 0.48852970066523188, 0.48782895027234124, 0.48637014157913949]","['d_774', 'd_285.9', 'd_401', 'd_327', 'd_427', 'd_305', 'd_311', 'd_424', 'd_486', 'd_272']"
0.17569696185050923,"{""balanced"": true, ""decay"": 8.0, ""model"": ""CollaborativeFiltering"", ""prior"": true, ""size"": 200, ""window"": 27}",0.9754193279245066,"[0.56058926108647089, 0.50665221035684749, 0.49870466321243523, 0.49694171616773508, 0.49352157099596516, 0.49238115972552793, 0.49102657698131413, 0.48966384749905401, 0.48865812453014124, 0.48851784975776918]","['d_458', 'd_511', 'd_774', 'd_997', 'd_995', 'd_038', 'd_250', 'd_496', 'd_412', 'd_274']"
0.15627337591345877,"{""balanced"": true, ""decay"": 8.0, ""model"": ""CollaborativeFiltering"", ""prior"": true, ""size"": 200, ""window"": 27}",1.0,"[0.5056994500740446, 0.49943874411082273, 0.49555456359000843, 0.49424294761082327, 0.49393783449979417, 0.49211605460457625, 0.49003892969174151, 0.4897354485108491, 0.48917318400685333, 0.48841225207428673]","['d_250', 'd_424', 'd_416', 'd_774', 'd_997', 'd_428', 'd_403', 'd_458', 'd_274', 'd_038']"
0.1542129739103019,"{""balanced"": true, ""decay"": 8.0, ""model"": ""CollaborativeFiltering"", ""prior"": true, ""size"": 200, ""window"": 27}",1.0,"[0.5195981806717801, 0.51216311705055417, 0.50674185583082554, 0.49361646106472207, 0.49040231396266104, 0.48685171388739307, 0.48671563749659935, 0.48281313741436432, 0.47944296509180423, 0.4792926636865632]","['d_285.1', 'd_287.5', 'd_997', 'd_424', 'd_774', 'd_410', 'd_493', 'd_401', 'd_274', 'd_507']"
0.6392639263926393,"{""balanced"": true, ""decay"": 5.0, ""model"": ""CollaborativeFiltering"", ""prior"": true, ""size"": 200, ""window"": 27}",0.43915641564156416,"[0.99856999856999851, 0.87007333757618088, 0.86418591352144902, 0.85610108834199428, 0.83729594391587381, 0.82797072072072075, 0.82700780837295307, 0.81955841076957126, 0.81543248243100286, 0.80213419010080256]","['d_774', 'd_250', 'd_403', 'd_530', 'd_274', 'd_493', 'd_428', 'd_327', 'd_244', 'd_496']"
0.8167546536885809,"{""balanced"": true, ""decay"": 5, ""model"": ""SkipGram"", ""prior"": false, ""size"": 350, ""window"": 35}",0.21954136764827187,"[0.99944724997094636, 0.89258053155372385, 0.87901959836487731, 0.87341278186086346, 0.86390997597009944, 0.85321215363989977, 0.84173487769675692, 0.83291419331620431, 0.83264911837744382, 0.82983747560823873]","['d_774', 'd_327', 'd_244', 'd_274', 'd_403', 'd_250', 'd_493', 'd_428', 'd_414', 'd_272']"
0.6385520635706233,"{""balanced"": true, ""decay"": 5, ""model"": ""CbowSim"", ""prior"": true, ""size"": 300, ""window"": 45}",0.41482443839533667,"[0.90491337699559415, 0.86296077512224822, 0.85959120511349529, 0.83593107379405818, 0.82711500867055143, 0.81775408385733728, 0.81608887689268261, 0.81583220321135419, 0.79182948425543453, 0.77586711062492275]","['d_774', 'd_244', 'd_274', 'd_327', 'd_493', 'd_428', 'd_403', 'd_250', 'd_427', 'd_272']"
0.6353597844317963,"{""balanced"": true, ""decay"": 8.0, ""model"": ""CbowSim"", ""prior"": true, ""size"": 300, ""window"": 45}",0.4215911902994308,"[0.87424149085996494, 0.86394314941683514, 0.86061009323289206, 0.84841896174327469, 0.83555653024730936, 0.82437319523171471, 0.82066314907962901, 0.81791829454178022, 0.802093568307372, 0.78922212636969502]","['d_274', 'd_244', 'd_774', 'd_327', 'd_403', 'd_250', 'd_493', 'd_428', 'd_427', 'd_272']"
